Time_abs/ps, Signal/nA
  1037.400,    -0.576760
  1037.450,    -0.582683
  1037.500,    -0.586717
  1037.550,    -0.588030
  1037.600,    -0.585531
  1037.650,    -0.580262
  1037.700,    -0.575624
  1037.750,    -0.570404
  1037.800,    -0.561114
  1037.850,    -0.550050
  1037.900,    -0.536398
  1037.950,    -0.523200
  1038.000,    -0.509863
  1038.050,    -0.489930
  1038.100,    -0.471546
  1038.150,    -0.452324
  1038.200,    -0.432095
  1038.250,    -0.409057
  1038.300,    -0.385085
  1038.350,    -0.360542
  1038.400,    -0.337924
  1038.450,    -0.313060
  1038.500,    -0.289776
  1038.550,    -0.269888
  1038.600,    -0.251596
  1038.650,    -0.237288
  1038.700,    -0.222336
  1038.750,    -0.210987
  1038.800,    -0.201645
  1038.850,    -0.191824
  1038.900,    -0.183754
  1038.950,    -0.175167
  1039.000,    -0.164765
  1039.050,    -0.154231
  1039.100,    -0.141648
  1039.150,    -0.129037
  1039.200,    -0.114756
  1039.250,    -0.097507
  1039.300,    -0.082394
  1039.350,    -0.066712
  1039.400,    -0.046040
  1039.450,    -0.026138
  1039.500,    -0.000915
  1039.550,     0.026807
  1039.600,     0.055447
  1039.650,     0.090126
  1039.700,     0.125216
  1039.750,     0.168656
  1039.800,     0.211661
  1039.850,     0.259414
  1039.900,     0.309356
  1039.950,     0.362194
  1040.000,     0.416511
  1040.050,     0.474319
  1040.100,     0.541741
  1040.150,     0.607257
  1040.200,     0.680416
  1040.250,     0.754962
  1040.300,     0.833012
  1040.350,     0.916667
  1040.400,     1.000918
  1040.450,     1.085762
  1040.500,     1.173286
  1040.550,     1.258809
  1040.600,     1.343516
  1040.650,     1.425428
  1040.700,     1.507675
  1040.750,     1.587377
  1040.800,     1.667670
  1040.850,     1.747405
  1040.900,     1.826154
  1040.950,     1.912040
  1041.000,     1.988429
  1041.050,     2.065373
  1041.100,     2.143003
  1041.150,     2.214715
  1041.200,     2.280977
  1041.250,     2.342700
  1041.300,     2.402099
  1041.350,     2.451397
  1041.400,     2.493356
  1041.450,     2.526970
  1041.500,     2.557014
  1041.550,     2.580226
  1041.600,     2.591884
  1041.650,     2.598334
  1041.700,     2.601996
  1041.750,     2.595721
  1041.800,     2.585198
  1041.850,     2.575835
  1041.900,     2.561689
  1041.950,     2.540523
  1042.000,     2.521881
  1042.050,     2.498920
  1042.100,     2.475298
  1042.150,     2.453838
  1042.200,     2.433000
  1042.250,     2.409431
  1042.300,     2.390444
  1042.350,     2.366035
  1042.400,     2.342508
  1042.450,     2.322073
  1042.500,     2.296338
  1042.550,     2.264670
  1042.600,     2.232421
  1042.650,     2.197170
  1042.700,     2.161100
  1042.750,     2.123355
  1042.800,     2.082922
  1042.850,     2.047560
  1042.900,     2.009722
  1042.950,     1.976766
  1043.000,     1.942928
  1043.050,     1.911660
  1043.100,     1.880913
  1043.150,     1.846860
  1043.200,     1.810015
  1043.250,     1.776805
  1043.300,     1.739984
  1043.350,     1.700615
  1043.400,     1.661747
  1043.450,     1.620358
  1043.500,     1.581253
  1043.550,     1.541748
  1043.600,     1.503810
  1043.650,     1.471217
  1043.700,     1.440137
  1043.750,     1.414383
  1043.800,     1.389665
  1043.850,     1.370400
  1043.900,     1.358084
  1043.950,     1.347415
  1044.000,     1.338813
