solution: [325. 650. 125.], best minimum: [324.27 650.38 126.32], log(fx)=0.0027778943052318913, p[1] estimate: 598.03
truth: [323. 440. 407.], found: [322.91 440.33 406.82], log(fx)=-7.94, p0: [350, 450, 450], success?: True
truth: [196. 739. 332.], found: [194.68 739.22 331.57], log(fx)=-6.661, p0: [250, 650, 400], success?: True
truth: [ 50. 642.  58.], found: [ 49.88 641.61  58.43], log(fx)=-7.631, p0: [50, 650, 50], success?: True
truth: [215. 419. 446.], found: [214.27 420.63 448.85], log(fx)=-4.569, p0: [350, 550, 400], success?: True
truth: [ 68. 456. 150.], found: [ 68.5  455.41 154.25], log(fx)=-5.653, p0: [100, 550, 250], success?: True
truth: [181. 697. 126.], found: [179.99 697.37 127.43], log(fx)=-6.668, p0: [200, 700, 150], success?: True
truth: [390. 591. 446.], found: [388.19 592.22 448.05], log(fx)=-6.172, p0: [400, 600, 400], success?: True
truth: [188. 614. 138.], found: [185.45 612.83 142.81], log(fx)=-5.06, p0: [250, 600, 150], success?: True
truth: [308. 656. 368.], found: [309.02 655.18 370.61], log(fx)=-6.322, p0: [350, 700, 400], success?: True
truth: [277. 536. 444.], found: [273.87 537.32 443.13], log(fx)=-4.884, p0: [300, 650, 450], success?: True
truth: [285. 740. 176.], found: [284.62 741.01 171.34], log(fx)=-5.776, p0: [250, 750, 250], success?: True

truth: [325. 650. 125.], found: [324.66 650.53 124.94], log(fx)=-7.246, p0: [400, 600, 150], success?: True, fevals: 28409
truth: [225. 650. 125.], found: [225.27 649.93 124.67], log(fx)=-8.625, p0: [150, 800, 150], success?: True, fevals: 28785
truth: [125. 650. 125.], found: [123.72 650.15 125.49], log(fx)=-7.081, p0: [150, 600, 150], success?: True, fevals: 29001
truth: [125. 650. 375.], found: [124.71 650.71 374.96], log(fx)=-6.727, p0: [200, 650, 350], success?: True, fevals: 28630
truth: [275. 600. 175.], found: [277.04 599.62 172.54], log(fx)=-6.101, p0: [300, 600, 200], success?: True, fevals: 28777
truth: [325. 620.  50.], found: [327.35 619.43  49.74], log(fx)=-5.562, p0: [450, 600, 50], success?: True, fevals: 28962
truth: [275. 675. 200.], found: [275.52 674.49 200.6 ], log(fx)=-7.663, p0: [250, 700, 200], success?: True, fevals: 28835
truth: [400. 680. 125.], found: [399.85 679.89 124.24], log(fx)=-7.541, p0: [400, 650, 150], success?: True, fevals: 28738
truth: [250. 600. 250.], found: [250. 600. 250.], log(fx)=-inf, p0: [250, 600, 250], success?: True, fevals: 28873
truth: [300. 620. 200.], found: [300.96 619.9  201.46], log(fx)=-7.1, p0: [350, 600, 200], success?: True, fevals: 28962
truth: [200. 620. 300.], found: [200.51 619.1  300.54], log(fx)=-6.413, p0: [200, 650, 250], success?: True, fevals: 29026
truth: [ 47. 640.  74.], found: [ 47.07 639.78  73.03], log(fx)=-7.574, p0: [50, 600, 100], success?: True, fevals: 28947
truth: [ 90. 750. 110.], found: [ 88.88 751.52 108.5 ], log(fx)=-6.078, p0: [100, 750, 100], success?: True, fevals: 29418
truth: [450. 700. 400.], found: [450. 700. 400.], log(fx)=-inf, p0: [450, 700, 400], success?: True, fevals: 29264
truth: [176. 581. 156.], found: [177.75 580.27 156.69], log(fx)=-6.636, p0: [200, 700, 150], success?: True, fevals: 28527
truth: [ 93. 747. 301.], found: [ 92.5  747.7  301.16], log(fx)=-7.914, p0: [100, 750, 300], success?: True, fevals: 29132
truth: [191. 427. 300.], found: [190.8  425.64 305.1 ], log(fx)=-5.097, p0: [150, 550, 250], success?: False, fevals: 28948
truth: [289. 436.  72.], found: [288.9  436.43  70.98], log(fx)=-7.09, p0: [300, 450, 100], success?: True, fevals: 28679
truth: [144. 494. 359.], found: [144.83 493.87 360.8 ], log(fx)=-6.541, p0: [150, 600, 400], success?: True, fevals: 28753
